[04/06 06:51:25]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+Adam', seed=17, weight_decay=0.0001)
[04/06 07:09:24]: Epoch Test: 122, Current test accuracy: 0.8566, Best test accuracy in 116: 0.8627
[04/06 07:09:33]: epoch: 123, train_loss: 0.451048, train_accuracy: 0.9065
[04/06 07:09:33]: Epoch Test: 123, Current test accuracy: 0.8582, Best test accuracy in 116: 0.8627
[04/06 07:09:41]: epoch: 124, train_loss: 0.454199, train_accuracy: 0.9057
[04/06 07:09:42]: Epoch Test: 124, Current test accuracy: 0.8528, Best test accuracy in 116: 0.8627
[04/06 07:09:50]: epoch: 125, train_loss: 0.446679, train_accuracy: 0.9070
[04/06 07:09:51]: Epoch Test: 125, Current test accuracy: 0.8569, Best test accuracy in 116: 0.8627
[04/06 07:09:59]: epoch: 126, train_loss: 0.443029, train_accuracy: 0.9085
[04/06 07:10:00]: Epoch Test: 126, Current test accuracy: 0.8599, Best test accuracy in 116: 0.8627
[04/06 07:10:08]: epoch: 127, train_loss: 0.433723, train_accuracy: 0.9097
[04/06 07:10:09]: Epoch Test: 127, Current test accuracy: 0.8553, Best test accuracy in 116: 0.8627
[04/06 07:10:17]: epoch: 128, train_loss: 0.437625, train_accuracy: 0.9092
[04/06 07:10:17]: Epoch Test: 128, Current test accuracy: 0.8559, Best test accuracy in 116: 0.8627
[04/06 07:10:26]: epoch: 129, train_loss: 0.437024, train_accuracy: 0.9105
[04/06 07:10:26]: Epoch Test: 129, Current test accuracy: 0.8547, Best test accuracy in 116: 0.8627
[04/06 07:10:35]: epoch: 130, train_loss: 0.431144, train_accuracy: 0.9113
[04/06 07:10:35]: Epoch Test: 130, Current test accuracy: 0.8567, Best test accuracy in 116: 0.8627
[04/06 07:10:43]: epoch: 131, train_loss: 0.432615, train_accuracy: 0.9101
[04/06 07:10:44]: Epoch Test: 131, Current test accuracy: 0.8556, Best test accuracy in 116: 0.8627
[04/06 07:10:52]: epoch: 132, train_loss: 0.438222, train_accuracy: 0.9096
[04/06 07:10:53]: Epoch Test: 132, Current test accuracy: 0.8587, Best test accuracy in 116: 0.8627
[04/06 07:11:01]: epoch: 133, train_loss: 0.432732, train_accuracy: 0.9099
[04/06 07:11:02]: Epoch Test: 133, Current test accuracy: 0.8508, Best test accuracy in 116: 0.8627
[04/06 07:11:10]: epoch: 134, train_loss: 0.432605, train_accuracy: 0.9099
[04/06 07:11:11]: Epoch Test: 134, Current test accuracy: 0.8516, Best test accuracy in 116: 0.8627
[04/06 07:11:19]: epoch: 135, train_loss: 0.430078, train_accuracy: 0.9111
[04/06 07:11:20]: Epoch Test: 135, Current test accuracy: 0.8436, Best test accuracy in 116: 0.8627
[04/06 07:11:28]: epoch: 136, train_loss: 0.424194, train_accuracy: 0.9129
[04/06 07:11:28]: Epoch Test: 136, Current test accuracy: 0.8586, Best test accuracy in 116: 0.8627
[04/06 07:11:37]: epoch: 137, train_loss: 0.429311, train_accuracy: 0.9110
[04/06 07:11:37]: Epoch Test: 137, Current test accuracy: 0.8567, Best test accuracy in 116: 0.8627
[04/06 07:11:45]: epoch: 138, train_loss: 0.425274, train_accuracy: 0.9113
[04/06 07:11:46]: Epoch Test: 138, Current test accuracy: 0.8578, Best test accuracy in 116: 0.8627
[04/06 07:11:54]: epoch: 139, train_loss: 0.416534, train_accuracy: 0.9136
[04/06 07:11:55]: Epoch Test: 139, Current test accuracy: 0.8468, Best test accuracy in 116: 0.8627
