[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:31:00]: Epoch Test: 56, Current test accuracy: 0.8686, Best test accuracy in 41: 0.8785
[04/06 15:31:07]: epoch: 57, train_loss: 0.202492, train_accuracy: 0.9284
[04/06 15:31:08]: Epoch Test: 57, Current test accuracy: 0.8638, Best test accuracy in 41: 0.8785
[04/06 15:31:16]: epoch: 58, train_loss: 0.196412, train_accuracy: 0.9318
[04/06 15:31:16]: Epoch Test: 58, Current test accuracy: 0.8551, Best test accuracy in 41: 0.8785
[04/06 15:31:24]: epoch: 59, train_loss: 0.198169, train_accuracy: 0.9303
[04/06 15:31:25]: Epoch Test: 59, Current test accuracy: 0.8635, Best test accuracy in 41: 0.8785
[04/06 15:31:32]: epoch: 60, train_loss: 0.202234, train_accuracy: 0.9290
[04/06 15:31:33]: Epoch Test: 60, Current test accuracy: 0.8420, Best test accuracy in 41: 0.8785
[04/06 15:31:40]: epoch: 61, train_loss: 0.196547, train_accuracy: 0.9302
[04/06 15:31:41]: Epoch Test: 61, Current test accuracy: 0.8648, Best test accuracy in 41: 0.8785
[04/06 15:31:49]: epoch: 62, train_loss: 0.198788, train_accuracy: 0.9310
[04/06 15:31:49]: Epoch Test: 62, Current test accuracy: 0.8757, Best test accuracy in 41: 0.8785
[04/06 15:31:57]: epoch: 63, train_loss: 0.197832, train_accuracy: 0.9311
[04/06 15:31:58]: Epoch Test: 63, Current test accuracy: 0.8632, Best test accuracy in 41: 0.8785
[04/06 15:32:06]: epoch: 64, train_loss: 0.191626, train_accuracy: 0.9325
[04/06 15:32:06]: Epoch Test: 64, Current test accuracy: 0.8719, Best test accuracy in 41: 0.8785
[04/06 15:32:14]: epoch: 65, train_loss: 0.187958, train_accuracy: 0.9348
[04/06 15:32:15]: Epoch Test: 65, Current test accuracy: 0.8759, Best test accuracy in 41: 0.8785
[04/06 15:32:22]: epoch: 66, train_loss: 0.188703, train_accuracy: 0.9341
[04/06 15:32:23]: Epoch Test: 66, Current test accuracy: 0.8844, Best test accuracy in 66: 0.8844
[04/06 15:32:31]: epoch: 67, train_loss: 0.190041, train_accuracy: 0.9333
[04/06 15:32:32]: Epoch Test: 67, Current test accuracy: 0.8793, Best test accuracy in 66: 0.8844
[04/06 15:32:39]: epoch: 68, train_loss: 0.190003, train_accuracy: 0.9340
[04/06 15:32:40]: Epoch Test: 68, Current test accuracy: 0.8705, Best test accuracy in 66: 0.8844
[04/06 15:32:48]: epoch: 69, train_loss: 0.189321, train_accuracy: 0.9329
[04/06 15:32:49]: Epoch Test: 69, Current test accuracy: 0.8739, Best test accuracy in 66: 0.8844
[04/06 15:32:57]: epoch: 70, train_loss: 0.185811, train_accuracy: 0.9352
[04/06 15:32:57]: Epoch Test: 70, Current test accuracy: 0.8859, Best test accuracy in 70: 0.8859
[04/06 15:33:05]: epoch: 71, train_loss: 0.185791, train_accuracy: 0.9350
[04/06 15:33:06]: Epoch Test: 71, Current test accuracy: 0.8711, Best test accuracy in 70: 0.8859
[04/06 15:33:14]: epoch: 72, train_loss: 0.184988, train_accuracy: 0.9354
[04/06 15:33:15]: Epoch Test: 72, Current test accuracy: 0.8550, Best test accuracy in 70: 0.8859
[04/06 15:33:23]: epoch: 73, train_loss: 0.182446, train_accuracy: 0.9358
[04/06 15:33:24]: Epoch Test: 73, Current test accuracy: 0.8400, Best test accuracy in 70: 0.8859
[04/06 15:33:32]: epoch: 74, train_loss: 0.183767, train_accuracy: 0.9357
[04/06 15:33:33]: Epoch Test: 74, Current test accuracy: 0.8831, Best test accuracy in 70: 0.8859
[04/06 15:33:41]: epoch: 75, train_loss: 0.184127, train_accuracy: 0.9356
[04/06 15:33:42]: Epoch Test: 75, Current test accuracy: 0.8578, Best test accuracy in 70: 0.8859
[04/06 15:33:50]: epoch: 76, train_loss: 0.183422, train_accuracy: 0.9360
[04/06 15:33:51]: Epoch Test: 76, Current test accuracy: 0.8703, Best test accuracy in 70: 0.8859
[04/06 15:33:59]: epoch: 77, train_loss: 0.181883, train_accuracy: 0.9373
[04/06 15:33:59]: Epoch Test: 77, Current test accuracy: 0.8863, Best test accuracy in 77: 0.8863
[04/06 15:34:07]: epoch: 78, train_loss: 0.181005, train_accuracy: 0.9363
[04/06 15:34:08]: Epoch Test: 78, Current test accuracy: 0.8797, Best test accuracy in 77: 0.8863
[04/06 15:34:16]: epoch: 79, train_loss: 0.179706, train_accuracy: 0.9360
[04/06 15:34:16]: Epoch Test: 79, Current test accuracy: 0.8765, Best test accuracy in 77: 0.8863
[04/06 15:34:24]: epoch: 80, train_loss: 0.176719, train_accuracy: 0.9378
[04/06 15:34:25]: Epoch Test: 80, Current test accuracy: 0.8560, Best test accuracy in 77: 0.8863
[04/06 15:34:33]: epoch: 81, train_loss: 0.181471, train_accuracy: 0.9365
[04/06 15:34:34]: Epoch Test: 81, Current test accuracy: 0.8439, Best test accuracy in 77: 0.8863
[04/06 15:34:42]: epoch: 82, train_loss: 0.179666, train_accuracy: 0.9371
[04/06 15:34:43]: Epoch Test: 82, Current test accuracy: 0.8470, Best test accuracy in 77: 0.8863
[04/06 15:34:51]: epoch: 83, train_loss: 0.175890, train_accuracy: 0.9384
[04/06 15:34:51]: Epoch Test: 83, Current test accuracy: 0.8499, Best test accuracy in 77: 0.8863
[04/06 15:34:59]: epoch: 84, train_loss: 0.176048, train_accuracy: 0.9373
[04/06 15:35:00]: Epoch Test: 84, Current test accuracy: 0.8898, Best test accuracy in 84: 0.8898
[04/06 15:35:08]: epoch: 85, train_loss: 0.177998, train_accuracy: 0.9377
[04/06 15:35:09]: Epoch Test: 85, Current test accuracy: 0.8735, Best test accuracy in 84: 0.8898
[04/06 15:35:17]: epoch: 86, train_loss: 0.175741, train_accuracy: 0.9384
[04/06 15:35:17]: Epoch Test: 86, Current test accuracy: 0.8624, Best test accuracy in 84: 0.8898
[04/06 15:35:25]: epoch: 87, train_loss: 0.178781, train_accuracy: 0.9363
[04/06 15:35:26]: Epoch Test: 87, Current test accuracy: 0.8855, Best test accuracy in 84: 0.8898
[04/06 15:35:34]: epoch: 88, train_loss: 0.171816, train_accuracy: 0.9407
[04/06 15:35:34]: Epoch Test: 88, Current test accuracy: 0.8831, Best test accuracy in 84: 0.8898
[04/06 15:35:42]: epoch: 89, train_loss: 0.175429, train_accuracy: 0.9371
[04/06 15:35:43]: Epoch Test: 89, Current test accuracy: 0.8760, Best test accuracy in 84: 0.8898
[04/06 15:35:51]: epoch: 90, train_loss: 0.177189, train_accuracy: 0.9378
[04/06 15:35:52]: Epoch Test: 90, Current test accuracy: 0.8659, Best test accuracy in 84: 0.8898
[04/06 15:36:00]: epoch: 91, train_loss: 0.172060, train_accuracy: 0.9406
[04/06 15:36:00]: Epoch Test: 91, Current test accuracy: 0.8736, Best test accuracy in 84: 0.8898
[04/06 15:36:09]: epoch: 92, train_loss: 0.174004, train_accuracy: 0.9402
[04/06 15:36:09]: Epoch Test: 92, Current test accuracy: 0.8700, Best test accuracy in 84: 0.8898
[04/06 15:36:18]: epoch: 93, train_loss: 0.167505, train_accuracy: 0.9408
[04/06 15:36:18]: Epoch Test: 93, Current test accuracy: 0.8867, Best test accuracy in 84: 0.8898
[04/06 15:36:26]: epoch: 94, train_loss: 0.169012, train_accuracy: 0.9401
[04/06 15:36:27]: Epoch Test: 94, Current test accuracy: 0.8772, Best test accuracy in 84: 0.8898
[04/06 15:36:35]: epoch: 95, train_loss: 0.173525, train_accuracy: 0.9397
[04/06 15:36:36]: Epoch Test: 95, Current test accuracy: 0.8943, Best test accuracy in 95: 0.8943
[04/06 15:36:44]: epoch: 96, train_loss: 0.168627, train_accuracy: 0.9408
[04/06 15:36:44]: Epoch Test: 96, Current test accuracy: 0.8812, Best test accuracy in 95: 0.8943
[04/06 15:36:52]: epoch: 97, train_loss: 0.169248, train_accuracy: 0.9411
[04/06 15:36:53]: Epoch Test: 97, Current test accuracy: 0.8432, Best test accuracy in 95: 0.8943
[04/06 15:37:01]: epoch: 98, train_loss: 0.172424, train_accuracy: 0.9402
[04/06 15:37:02]: Epoch Test: 98, Current test accuracy: 0.8894, Best test accuracy in 95: 0.8943
[04/06 15:37:10]: epoch: 99, train_loss: 0.167139, train_accuracy: 0.9412
