[04/05 20:14:58]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04052000', seed=17, weight_decay=0.0001)
[04/05 20:47:20]: epoch: 79, train_loss: 0.276660, train_accuracy: 0.9445
[04/05 20:47:21]: Epoch Test: 79, Current test accuracy: 0.8641, Best test accuracy in 65: 0.8820
[04/05 20:47:45]: epoch: 80, train_loss: 0.264432, train_accuracy: 0.9455
[04/05 20:47:46]: Epoch Test: 80, Current test accuracy: 0.8822, Best test accuracy in 80: 0.8822
[04/05 20:48:12]: epoch: 81, train_loss: 0.271100, train_accuracy: 0.9441
[04/05 20:48:14]: Epoch Test: 81, Current test accuracy: 0.8803, Best test accuracy in 80: 0.8822
[04/05 20:48:38]: epoch: 82, train_loss: 0.263577, train_accuracy: 0.9474
[04/05 20:48:40]: Epoch Test: 82, Current test accuracy: 0.8710, Best test accuracy in 80: 0.8822
[04/05 20:49:03]: epoch: 83, train_loss: 0.268351, train_accuracy: 0.9459
[04/05 20:49:04]: Epoch Test: 83, Current test accuracy: 0.8790, Best test accuracy in 80: 0.8822
[04/05 20:49:28]: epoch: 84, train_loss: 0.256529, train_accuracy: 0.9477
[04/05 20:49:29]: Epoch Test: 84, Current test accuracy: 0.8764, Best test accuracy in 80: 0.8822
[04/05 20:49:52]: epoch: 85, train_loss: 0.258028, train_accuracy: 0.9481
[04/05 20:49:53]: Epoch Test: 85, Current test accuracy: 0.8812, Best test accuracy in 80: 0.8822
[04/05 20:50:17]: epoch: 86, train_loss: 0.258640, train_accuracy: 0.9478
[04/05 20:50:18]: Epoch Test: 86, Current test accuracy: 0.8807, Best test accuracy in 80: 0.8822
[04/05 20:50:41]: epoch: 87, train_loss: 0.249510, train_accuracy: 0.9496
[04/05 20:50:42]: Epoch Test: 87, Current test accuracy: 0.8705, Best test accuracy in 80: 0.8822
[04/05 20:51:06]: epoch: 88, train_loss: 0.265403, train_accuracy: 0.9457
[04/05 20:51:07]: Epoch Test: 88, Current test accuracy: 0.8849, Best test accuracy in 88: 0.8849
[04/05 20:51:30]: epoch: 89, train_loss: 0.248105, train_accuracy: 0.9493
[04/05 20:51:32]: Epoch Test: 89, Current test accuracy: 0.8785, Best test accuracy in 88: 0.8849
[04/05 20:51:55]: epoch: 90, train_loss: 0.237891, train_accuracy: 0.9520
[04/05 20:51:56]: Epoch Test: 90, Current test accuracy: 0.8789, Best test accuracy in 88: 0.8849
[04/05 20:52:19]: epoch: 91, train_loss: 0.240474, train_accuracy: 0.9512
[04/05 20:52:21]: Epoch Test: 91, Current test accuracy: 0.8800, Best test accuracy in 88: 0.8849
[04/05 20:52:44]: epoch: 92, train_loss: 0.225922, train_accuracy: 0.9533
[04/05 20:52:45]: Epoch Test: 92, Current test accuracy: 0.8876, Best test accuracy in 92: 0.8876
[04/05 20:53:08]: epoch: 93, train_loss: 0.231311, train_accuracy: 0.9547
[04/05 20:53:10]: Epoch Test: 93, Current test accuracy: 0.8698, Best test accuracy in 92: 0.8876
[04/05 20:53:33]: epoch: 94, train_loss: 0.232535, train_accuracy: 0.9532
[04/05 20:53:34]: Epoch Test: 94, Current test accuracy: 0.8809, Best test accuracy in 92: 0.8876
[04/05 20:53:57]: epoch: 95, train_loss: 0.229195, train_accuracy: 0.9529
[04/05 20:53:58]: Epoch Test: 95, Current test accuracy: 0.8810, Best test accuracy in 92: 0.8876
[04/05 20:54:22]: epoch: 96, train_loss: 0.223431, train_accuracy: 0.9548
[04/05 20:54:23]: Epoch Test: 96, Current test accuracy: 0.8794, Best test accuracy in 92: 0.8876
[04/05 20:54:46]: epoch: 97, train_loss: 0.230542, train_accuracy: 0.9527
[04/05 20:54:47]: Epoch Test: 97, Current test accuracy: 0.8779, Best test accuracy in 92: 0.8876
[04/05 20:55:10]: epoch: 98, train_loss: 0.224282, train_accuracy: 0.9548
[04/05 20:55:12]: Epoch Test: 98, Current test accuracy: 0.8785, Best test accuracy in 92: 0.8876
[04/05 20:55:35]: epoch: 99, train_loss: 0.216885, train_accuracy: 0.9560
[04/05 20:55:36]: Epoch Test: 99, Current test accuracy: 0.8930, Best test accuracy in 99: 0.8930
[04/05 20:56:00]: epoch: 100, train_loss: 0.220588, train_accuracy: 0.9560
[04/05 20:56:01]: Epoch Test: 100, Current test accuracy: 0.8854, Best test accuracy in 99: 0.8930
[04/05 20:56:24]: epoch: 101, train_loss: 0.213338, train_accuracy: 0.9573
[04/05 20:56:25]: Epoch Test: 101, Current test accuracy: 0.8821, Best test accuracy in 99: 0.8930
[04/05 20:56:49]: epoch: 102, train_loss: 0.212556, train_accuracy: 0.9572
[04/05 20:56:50]: Epoch Test: 102, Current test accuracy: 0.8807, Best test accuracy in 99: 0.8930
[04/05 20:57:13]: epoch: 103, train_loss: 0.208000, train_accuracy: 0.9584
