[04/06 00:10:14]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+CF+Adam', seed=17, weight_decay=0.0001)
[04/06 00:31:00]: epoch: 102, train_loss: 0.209825, train_accuracy: 0.9379
[04/06 00:31:00]: Epoch Test: 102, Current test accuracy: 0.8780, Best test accuracy in 102: 0.8780
[04/06 00:31:12]: epoch: 103, train_loss: 0.209299, train_accuracy: 0.9373
[04/06 00:31:13]: Epoch Test: 103, Current test accuracy: 0.8760, Best test accuracy in 102: 0.8780
[04/06 00:31:24]: epoch: 104, train_loss: 0.209355, train_accuracy: 0.9379
[04/06 00:31:25]: Epoch Test: 104, Current test accuracy: 0.8677, Best test accuracy in 102: 0.8780
[04/06 00:31:36]: epoch: 105, train_loss: 0.203794, train_accuracy: 0.9389
[04/06 00:31:37]: Epoch Test: 105, Current test accuracy: 0.8768, Best test accuracy in 102: 0.8780
[04/06 00:31:48]: epoch: 106, train_loss: 0.201328, train_accuracy: 0.9389
[04/06 00:31:49]: Epoch Test: 106, Current test accuracy: 0.8670, Best test accuracy in 102: 0.8780
[04/06 00:32:01]: epoch: 107, train_loss: 0.205358, train_accuracy: 0.9386
[04/06 00:32:01]: Epoch Test: 107, Current test accuracy: 0.8777, Best test accuracy in 102: 0.8780
[04/06 00:32:13]: epoch: 108, train_loss: 0.201884, train_accuracy: 0.9398
[04/06 00:32:13]: Epoch Test: 108, Current test accuracy: 0.8770, Best test accuracy in 102: 0.8780
[04/06 00:32:25]: epoch: 109, train_loss: 0.198913, train_accuracy: 0.9413
[04/06 00:32:26]: Epoch Test: 109, Current test accuracy: 0.8730, Best test accuracy in 102: 0.8780
[04/06 00:32:37]: epoch: 110, train_loss: 0.196501, train_accuracy: 0.9415
[04/06 00:32:38]: Epoch Test: 110, Current test accuracy: 0.8820, Best test accuracy in 110: 0.8820
[04/06 00:32:50]: epoch: 111, train_loss: 0.190206, train_accuracy: 0.9417
[04/06 00:32:50]: Epoch Test: 111, Current test accuracy: 0.8782, Best test accuracy in 110: 0.8820
[04/06 00:33:02]: epoch: 112, train_loss: 0.194507, train_accuracy: 0.9415
[04/06 00:33:03]: Epoch Test: 112, Current test accuracy: 0.8801, Best test accuracy in 110: 0.8820
[04/06 00:33:14]: epoch: 113, train_loss: 0.197839, train_accuracy: 0.9424
[04/06 00:33:15]: Epoch Test: 113, Current test accuracy: 0.8776, Best test accuracy in 110: 0.8820
[04/06 00:33:26]: epoch: 114, train_loss: 0.187502, train_accuracy: 0.9433
[04/06 00:33:27]: Epoch Test: 114, Current test accuracy: 0.8697, Best test accuracy in 110: 0.8820
[04/06 00:33:39]: epoch: 115, train_loss: 0.189576, train_accuracy: 0.9433
[04/06 00:33:39]: Epoch Test: 115, Current test accuracy: 0.8815, Best test accuracy in 110: 0.8820
[04/06 00:33:51]: epoch: 116, train_loss: 0.189451, train_accuracy: 0.9427
[04/06 00:33:52]: Epoch Test: 116, Current test accuracy: 0.8796, Best test accuracy in 110: 0.8820
[04/06 00:34:03]: epoch: 117, train_loss: 0.185386, train_accuracy: 0.9447
[04/06 00:34:04]: Epoch Test: 117, Current test accuracy: 0.8757, Best test accuracy in 110: 0.8820
[04/06 00:34:15]: epoch: 118, train_loss: 0.187992, train_accuracy: 0.9434
[04/06 00:34:16]: Epoch Test: 118, Current test accuracy: 0.8838, Best test accuracy in 118: 0.8838
[04/06 00:34:27]: epoch: 119, train_loss: 0.186109, train_accuracy: 0.9439
[04/06 00:34:28]: Epoch Test: 119, Current test accuracy: 0.8708, Best test accuracy in 118: 0.8838
[04/06 00:34:40]: epoch: 120, train_loss: 0.177967, train_accuracy: 0.9474
[04/06 00:34:40]: Epoch Test: 120, Current test accuracy: 0.8783, Best test accuracy in 118: 0.8838
[04/06 00:34:52]: epoch: 121, train_loss: 0.182795, train_accuracy: 0.9452
