[04/06 08:37:27]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+C+Adam', seed=17, weight_decay=0.0001)
[04/06 08:54:11]: Epoch Test: 82, Current test accuracy: 0.8396, Best test accuracy in 79: 0.8606
[04/06 08:54:22]: epoch: 83, train_loss: 0.288098, train_accuracy: 0.9020
[04/06 08:54:23]: Epoch Test: 83, Current test accuracy: 0.8519, Best test accuracy in 79: 0.8606
[04/06 08:54:34]: epoch: 84, train_loss: 0.281525, train_accuracy: 0.9039
[04/06 08:54:35]: Epoch Test: 84, Current test accuracy: 0.8470, Best test accuracy in 79: 0.8606
[04/06 08:54:46]: epoch: 85, train_loss: 0.286271, train_accuracy: 0.9025
[04/06 08:54:47]: Epoch Test: 85, Current test accuracy: 0.8475, Best test accuracy in 79: 0.8606
[04/06 08:54:59]: epoch: 86, train_loss: 0.284709, train_accuracy: 0.9043
[04/06 08:54:59]: Epoch Test: 86, Current test accuracy: 0.8354, Best test accuracy in 79: 0.8606
[04/06 08:55:11]: epoch: 87, train_loss: 0.282100, train_accuracy: 0.9043
[04/06 08:55:12]: Epoch Test: 87, Current test accuracy: 0.8500, Best test accuracy in 79: 0.8606
[04/06 08:55:23]: epoch: 88, train_loss: 0.273558, train_accuracy: 0.9077
[04/06 08:55:24]: Epoch Test: 88, Current test accuracy: 0.8615, Best test accuracy in 88: 0.8615
[04/06 08:55:35]: epoch: 89, train_loss: 0.273804, train_accuracy: 0.9067
[04/06 08:55:36]: Epoch Test: 89, Current test accuracy: 0.8689, Best test accuracy in 89: 0.8689
[04/06 08:55:47]: epoch: 90, train_loss: 0.269118, train_accuracy: 0.9092
[04/06 08:55:48]: Epoch Test: 90, Current test accuracy: 0.8585, Best test accuracy in 89: 0.8689
[04/06 08:56:00]: epoch: 91, train_loss: 0.273203, train_accuracy: 0.9076
[04/06 08:56:00]: Epoch Test: 91, Current test accuracy: 0.8650, Best test accuracy in 89: 0.8689
[04/06 08:56:12]: epoch: 92, train_loss: 0.270936, train_accuracy: 0.9091
[04/06 08:56:12]: Epoch Test: 92, Current test accuracy: 0.8461, Best test accuracy in 89: 0.8689
[04/06 08:56:24]: epoch: 93, train_loss: 0.264819, train_accuracy: 0.9103
[04/06 08:56:25]: Epoch Test: 93, Current test accuracy: 0.8605, Best test accuracy in 89: 0.8689
[04/06 08:56:36]: epoch: 94, train_loss: 0.269680, train_accuracy: 0.9092
[04/06 08:56:37]: Epoch Test: 94, Current test accuracy: 0.8525, Best test accuracy in 89: 0.8689
[04/06 08:56:48]: epoch: 95, train_loss: 0.265949, train_accuracy: 0.9102
[04/06 08:56:49]: Epoch Test: 95, Current test accuracy: 0.8622, Best test accuracy in 89: 0.8689
[04/06 08:57:00]: epoch: 96, train_loss: 0.259864, train_accuracy: 0.9120
[04/06 08:57:01]: Epoch Test: 96, Current test accuracy: 0.8626, Best test accuracy in 89: 0.8689
[04/06 08:57:13]: epoch: 97, train_loss: 0.255015, train_accuracy: 0.9139
[04/06 08:57:13]: Epoch Test: 97, Current test accuracy: 0.8396, Best test accuracy in 89: 0.8689
[04/06 08:57:25]: epoch: 98, train_loss: 0.254381, train_accuracy: 0.9138
[04/06 08:57:25]: Epoch Test: 98, Current test accuracy: 0.8384, Best test accuracy in 89: 0.8689
[04/06 08:57:37]: epoch: 99, train_loss: 0.253083, train_accuracy: 0.9144
[04/06 08:57:38]: Epoch Test: 99, Current test accuracy: 0.8656, Best test accuracy in 89: 0.8689
[04/06 08:57:49]: epoch: 100, train_loss: 0.261271, train_accuracy: 0.9117
[04/06 08:57:50]: Epoch Test: 100, Current test accuracy: 0.8523, Best test accuracy in 89: 0.8689
[04/06 08:58:01]: epoch: 101, train_loss: 0.249001, train_accuracy: 0.9149
[04/06 08:58:02]: Epoch Test: 101, Current test accuracy: 0.8580, Best test accuracy in 89: 0.8689
[04/06 08:58:14]: epoch: 102, train_loss: 0.249845, train_accuracy: 0.9157
[04/06 08:58:14]: Epoch Test: 102, Current test accuracy: 0.8635, Best test accuracy in 89: 0.8689
[04/06 08:58:26]: epoch: 103, train_loss: 0.246964, train_accuracy: 0.9157
[04/06 08:58:27]: Epoch Test: 103, Current test accuracy: 0.8644, Best test accuracy in 89: 0.8689
[04/06 08:58:38]: epoch: 104, train_loss: 0.252354, train_accuracy: 0.9138
[04/06 08:58:39]: Epoch Test: 104, Current test accuracy: 0.8473, Best test accuracy in 89: 0.8689
[04/06 08:58:50]: epoch: 105, train_loss: 0.250319, train_accuracy: 0.9151
[04/06 08:58:51]: Epoch Test: 105, Current test accuracy: 0.8602, Best test accuracy in 89: 0.8689
[04/06 08:59:03]: epoch: 106, train_loss: 0.241414, train_accuracy: 0.9188
[04/06 08:59:03]: Epoch Test: 106, Current test accuracy: 0.8314, Best test accuracy in 89: 0.8689
[04/06 08:59:15]: epoch: 107, train_loss: 0.242045, train_accuracy: 0.9171
[04/06 08:59:16]: Epoch Test: 107, Current test accuracy: 0.8581, Best test accuracy in 89: 0.8689
[04/06 08:59:27]: epoch: 108, train_loss: 0.238339, train_accuracy: 0.9192
[04/06 08:59:28]: Epoch Test: 108, Current test accuracy: 0.8569, Best test accuracy in 89: 0.8689
[04/06 08:59:39]: epoch: 109, train_loss: 0.240262, train_accuracy: 0.9199
[04/06 08:59:40]: Epoch Test: 109, Current test accuracy: 0.8651, Best test accuracy in 89: 0.8689
[04/06 08:59:51]: epoch: 110, train_loss: 0.237435, train_accuracy: 0.9196
[04/06 08:59:52]: Epoch Test: 110, Current test accuracy: 0.8543, Best test accuracy in 89: 0.8689
[04/06 09:00:03]: epoch: 111, train_loss: 0.239197, train_accuracy: 0.9192
[04/06 09:00:04]: Epoch Test: 111, Current test accuracy: 0.8604, Best test accuracy in 89: 0.8689
[04/06 09:00:16]: epoch: 112, train_loss: 0.233489, train_accuracy: 0.9194
[04/06 09:00:16]: Epoch Test: 112, Current test accuracy: 0.8601, Best test accuracy in 89: 0.8689
[04/06 09:00:28]: epoch: 113, train_loss: 0.238071, train_accuracy: 0.9184
[04/06 09:00:29]: Epoch Test: 113, Current test accuracy: 0.8604, Best test accuracy in 89: 0.8689
[04/06 09:00:40]: epoch: 114, train_loss: 0.232621, train_accuracy: 0.9219
[04/06 09:00:41]: Epoch Test: 114, Current test accuracy: 0.8695, Best test accuracy in 114: 0.8695
[04/06 09:00:52]: epoch: 115, train_loss: 0.231457, train_accuracy: 0.9214
[04/06 09:00:53]: Epoch Test: 115, Current test accuracy: 0.8523, Best test accuracy in 114: 0.8695
[04/06 09:01:05]: epoch: 116, train_loss: 0.230734, train_accuracy: 0.9231
[04/06 09:01:05]: Epoch Test: 116, Current test accuracy: 0.8649, Best test accuracy in 114: 0.8695
[04/06 09:01:17]: epoch: 117, train_loss: 0.222144, train_accuracy: 0.9247
[04/06 09:01:18]: Epoch Test: 117, Current test accuracy: 0.8606, Best test accuracy in 114: 0.8695
[04/06 09:01:29]: epoch: 118, train_loss: 0.226533, train_accuracy: 0.9239
[04/06 09:01:30]: Epoch Test: 118, Current test accuracy: 0.8642, Best test accuracy in 114: 0.8695
[04/06 09:01:41]: epoch: 119, train_loss: 0.233306, train_accuracy: 0.9212
[04/06 09:01:42]: Epoch Test: 119, Current test accuracy: 0.8517, Best test accuracy in 114: 0.8695
[04/06 09:01:54]: epoch: 120, train_loss: 0.226298, train_accuracy: 0.9232
[04/06 09:01:54]: Epoch Test: 120, Current test accuracy: 0.8607, Best test accuracy in 114: 0.8695
[04/06 09:02:06]: epoch: 121, train_loss: 0.223396, train_accuracy: 0.9247
[04/06 09:02:07]: Epoch Test: 121, Current test accuracy: 0.8610, Best test accuracy in 114: 0.8695
[04/06 09:02:18]: epoch: 122, train_loss: 0.217521, train_accuracy: 0.9251
[04/06 09:02:19]: Epoch Test: 122, Current test accuracy: 0.8587, Best test accuracy in 114: 0.8695
[04/06 09:02:30]: epoch: 123, train_loss: 0.222523, train_accuracy: 0.9254
[04/06 09:02:31]: Epoch Test: 123, Current test accuracy: 0.8609, Best test accuracy in 114: 0.8695
[04/06 09:02:43]: epoch: 124, train_loss: 0.218181, train_accuracy: 0.9259
[04/06 09:02:43]: Epoch Test: 124, Current test accuracy: 0.8710, Best test accuracy in 124: 0.8710
[04/06 09:02:55]: epoch: 125, train_loss: 0.220968, train_accuracy: 0.9252
[04/06 09:02:55]: Epoch Test: 125, Current test accuracy: 0.8373, Best test accuracy in 124: 0.8710
[04/06 09:03:07]: epoch: 126, train_loss: 0.214586, train_accuracy: 0.9266
[04/06 09:03:08]: Epoch Test: 126, Current test accuracy: 0.8599, Best test accuracy in 124: 0.8710
[04/06 09:03:19]: epoch: 127, train_loss: 0.218584, train_accuracy: 0.9256
[04/06 09:03:20]: Epoch Test: 127, Current test accuracy: 0.8598, Best test accuracy in 124: 0.8710
[04/06 09:03:31]: epoch: 128, train_loss: 0.211989, train_accuracy: 0.9274
[04/06 09:03:32]: Epoch Test: 128, Current test accuracy: 0.8498, Best test accuracy in 124: 0.8710
[04/06 09:03:44]: epoch: 129, train_loss: 0.210424, train_accuracy: 0.9287
[04/06 09:03:44]: Epoch Test: 129, Current test accuracy: 0.8474, Best test accuracy in 124: 0.8710
[04/06 09:03:56]: epoch: 130, train_loss: 0.209044, train_accuracy: 0.9295
[04/06 09:03:57]: Epoch Test: 130, Current test accuracy: 0.8658, Best test accuracy in 124: 0.8710
[04/06 09:04:08]: epoch: 131, train_loss: 0.209533, train_accuracy: 0.9299
[04/06 09:04:09]: Epoch Test: 131, Current test accuracy: 0.8627, Best test accuracy in 124: 0.8710
[04/06 09:04:20]: epoch: 132, train_loss: 0.207436, train_accuracy: 0.9306
[04/06 09:04:21]: Epoch Test: 132, Current test accuracy: 0.8595, Best test accuracy in 124: 0.8710
[04/06 09:04:32]: epoch: 133, train_loss: 0.208343, train_accuracy: 0.9295
[04/06 09:04:33]: Epoch Test: 133, Current test accuracy: 0.8645, Best test accuracy in 124: 0.8710
[04/06 09:04:45]: epoch: 134, train_loss: 0.210376, train_accuracy: 0.9288
[04/06 09:04:45]: Epoch Test: 134, Current test accuracy: 0.8658, Best test accuracy in 124: 0.8710
[04/06 09:04:57]: epoch: 135, train_loss: 0.205573, train_accuracy: 0.9300
[04/06 09:04:58]: Epoch Test: 135, Current test accuracy: 0.8651, Best test accuracy in 124: 0.8710
[04/06 09:05:09]: epoch: 136, train_loss: 0.206205, train_accuracy: 0.9299
[04/06 09:05:10]: Epoch Test: 136, Current test accuracy: 0.8598, Best test accuracy in 124: 0.8710
[04/06 09:05:21]: epoch: 137, train_loss: 0.201990, train_accuracy: 0.9318
